log_id,timestamp,user_id,resource,action,request_id,path,method
1,1678886400,101,/admin/users,GET,1001,/admin/users?page=1&sort=username,GET
2,1678890000,102,/internal/reports/security,POST,1002,/internal/reports/security,POST
3,1678893600,103,/api/v1/data/sensitive,GET,1003,/api/v1/data/sensitive?id=123,GET
4,1678900800,104,/config/database,PUT,1004,/config/database/settings,PUT
5,1678904400,105,/private/files/documents/report.pdf,GET,1005,/private/files/documents/report.pdf,GET
6,1678972800,101,/admin/system/logs,GET,1006,/admin/system/logs?level=error,GET
7,1678976400,102,/api/v2/users/profile,GET,1007,/api/v2/users/profile/102,GET
8,1679059200,103,/internal/dashboard/metrics,GET,1008,/internal/dashboard/metrics?period=daily,GET
9,1679062800,104,/private/settings/network,POST,1009,/private/settings/network,POST
10,1679066400,105,/admin/security/alerts,GET,1010,/admin/security/alerts?severity=high,GET
11,1679142400,101,/api/v1/users/101/profile,PUT,1011,/api/v1/users/101/profile,PUT
12,1679146000,102,/internal/database/backup,GET,1012,/internal/database/backup/daily,GET
13,1679153200,103,/config/server/apache,PUT,1013,/config/server/apache/ssl,PUT
14,1679225600,104,/private/files/images/logo.png,GET,1014,/private/files/images/logo.png,GET
15,1679229200,105,/admin/roles/permissions,POST,1015,/admin/roles/permissions,POST
16,1679311600,101,/api/v1/auth/token,POST,1016,/api/v1/auth/token,POST
17,1679315200,102,/internal/audit/logs,GET,1017,/internal/audit/logs?user=102,GET
18,1679397600,103,/private/documents/contracts/contract123.docx,GET,1018,/private/documents/contracts/contract123.docx,GET
19,1679401200,104,/admin/users/104/password,PUT,1019,/admin/users/104/password,PUT
20,1679404800,105,/api/v2/data/analytics,GET,1020,/api/v2/data/analytics?start=2024-01-01&end=2024-01-31,GET
