device_id,name,type,ip_address,data_id,timestamp,value,sensor_id,name,type,location,status
1001,PLC1,"PLC","192.168.1.101",1,1678886400,25.5,1,"TemperatureSensor","temperature","Room A","active"
1001,PLC1,"PLC","192.168.1.101",2,1678890000,25.2,1,"TemperatureSensor","temperature","Room A","active"
1001,PLC1,"PLC","192.168.1.101",3,1678893600,24.9,1,"TemperatureSensor","temperature","Room A","active"
1001,PLC1,"PLC","192.168.1.101",4,1678900800,25.1,1,"TemperatureSensor","temperature","Room A","active"
1001,PLC1,"PLC","192.168.1.101",5,1678904400,25.3,1,"TemperatureSensor","temperature","Room A","active"
1002,SCADA1,"SCADA","10.0.0.102",6,1678972800,100.2,2,"PressureSensor","pressure","Pipeline 1","active"
1002,SCADA1,"SCADA","10.0.0.102",7,1678976400,100.5,2,"PressureSensor","pressure","Pipeline 1","active"
1002,SCADA1,"SCADA","10.0.0.102",8,1679059200,100.8,2,"PressureSensor","pressure","Pipeline 1","active"
1002,SCADA1,"SCADA","10.0.0.102",9,1679062800,100.1,2,"PressureSensor","pressure","Pipeline 1","active"
1002,SCADA1,"SCADA","10.0.0.102",10,1679066400,100.3,2,"PressureSensor","pressure","Pipeline 1","active"
1003,PLC2,"PLC","172.16.0.103",11,1679142400,15.7,3,"HumiditySensor","humidity","Room B","active"
1003,PLC2,"PLC","172.16.0.103",12,1679146000,16.1,3,"HumiditySensor","humidity","Room B","active"
1003,PLC2,"PLC","172.16.0.103",13,1679153200,15.9,3,"HumiditySensor","humidity","Room B","active"
1003,PLC2,"PLC","172.16.0.103",14,1679225600,16.3,3,"HumiditySensor","humidity","Room B","active"
1003,PLC2,"PLC","172.16.0.103",15,1679229200,15.5,3,"HumiditySensor","humidity","Room B","active"
1004,RTU1,"RTU","192.168.1.104",16,1679311600,50.1,4,"FlowSensor","flow","Pipeline 2","active"
1004,RTU1,"RTU","192.168.1.104",17,1679315200,50.3,4,"FlowSensor","flow","Pipeline 2","active"
1004,RTU1,"RTU","192.168.1.104",18,1679397600,50.5,4,"FlowSensor","flow","Pipeline 2","active"
1004,RTU1,"RTU","192.168.1.104",19,1679401200,49.8,4,"FlowSensor","flow","Pipeline 2","active"
1004,RTU1,"RTU","192.168.1.104",20,1679404800,50.0,4,"FlowSensor","flow","Pipeline 2","active"
1005,SCADA2,"SCADA","10.0.0.105",21,1679477600,120.1,5,"LevelSensor","level","Tank 1","active"
1005,SCADA2,"SCADA","10.0.0.105",22,1679481200,120.5,5,"LevelSensor","level","Tank 1","active"
